crossing time (s)	slope (V/s)	crossing number
2581.113594	-27.767355	2223
2582.112099	-28.278440	2224
2583.137094	-27.779401	2225
2584.123237	-28.302360	2226
2585.149568	-27.612291	2227
2586.132011	-27.980645	2228
2587.157524	-27.285087	2229
2588.160743	-27.788945	2230
2589.168018	-27.096051	2231
2590.156888	-27.433506	2232
2591.179711	-27.124140	2233
2592.185555	-27.389353	2234
2593.190112	-27.645076	2235
2594.202683	-27.623858	2236
2595.207428	-27.246300	2237
2596.212507	-27.344634	2238
2597.221630	-27.049097	2239
2598.223632	-27.073007	2240
2599.232509	-27.422377	2241
2600.239436	-27.363725	2242
2601.244679	-27.518824	2243
2602.253952	-26.896266	2244
2603.249006	-27.265843	2245
2604.264319	-26.280431	2246
2605.271891	-27.343337	2247
2606.275259	-26.253480	2248
2607.294602	-26.789886	2249
2608.292621	-26.472628	2250
2609.305333	-26.707535	2251
2610.299283	-26.322967	2252
2611.321231	-26.433061	2253
2612.316725	-26.852851	2254
2613.327077	-26.736789	2255
2614.332575	-25.769411	2256
2615.351025	-26.646043	2257
2616.340702	-26.340251	2258
2617.360381	-26.743472	2259
2618.356173	-26.777536	2260
2619.370534	-26.875161	2261
2620.370499	-26.063257	2262
2621.388774	-26.776663	2263
2622.388003	-26.460641	2264
2623.406344	-26.357208	2265
2624.396628	-26.615449	2266
2625.416081	-26.203104	2267
2626.417056	-25.954862	2268
2627.429479	-26.386179	2269
2628.416220	-25.779216	2270
2629.441257	-26.101949	2271
2630.438899	-25.501851	2272
2631.452419	-26.305942	2273
2632.462382	-25.421850	2274
2633.467268	-26.317549	2275
2634.475045	-24.759885	2276
2635.479627	-25.870063	2277
2636.486730	-25.790566	2278
2637.488261	-25.977905	2279
2638.504301	-25.872527	2280
2639.498311	-25.526346	2281
2640.517286	-26.123467	2282
2641.512381	-25.705235	2283
2642.527667	-26.062727	2284
2643.533714	-25.329866	2285
2644.526790	-25.752399	2286
2645.541706	-25.334957	2287
2646.549733	-25.807582	2288
2647.558575	-24.977871	2289
2648.562935	-25.899477	2290
2649.588535	-24.829199	2291
2650.576874	-25.503344	2292
2651.594531	-24.777974	2293
2652.588549	-25.297169	2294
2653.596759	-24.876551	2295
2654.603706	-25.330803	2296
2655.627475	-25.245365	2297
2656.622444	-25.400178	2298
2657.632067	-25.137922	2299
2658.625813	-25.487899	2300
2659.642835	-24.735223	2301
2660.643824	-25.270308	2302
2661.659446	-24.853837	2303
2662.657979	-25.449454	2304
2663.663322	-24.981364	2305
2664.664340	-25.478795	2306
2665.674032	-24.558555	2307
2666.697376	-25.029025	2308
2667.693201	-24.975697	2309
2668.702075	-24.953713	2310
2669.708680	-24.482196	2311
2670.716995	-24.536152	2312
2671.720676	-25.088905	2313
2672.733538	-24.314193	2314
2673.745674	-24.913444	2315
2674.741379	-24.453576	2316
2675.753200	-24.937031	2317
2676.753551	-24.293234	2318
2677.760967	-24.885871	2319
2678.762605	-24.785159	2320
2679.774135	-24.821604	2321
2680.779307	-24.306615	2322
2681.797430	-24.741834	2323
2682.794871	-24.026653	2324
2683.817292	-24.718083	2325
2684.804799	-24.129941	2326
2685.826897	-24.756754	2327
2686.827834	-24.016175	2328
2687.838908	-24.751391	2329
2688.840909	-24.549397	2330
2689.847627	-24.008557	2331
2690.844069	-24.280379	2332
2691.862478	-24.351327	2333
2692.863372	-24.382277	2334
2693.875227	-24.668355	2335
2694.881232	-24.191080	2336
2695.882756	-24.741660	2337
2696.890762	-24.316861	2338
2697.905202	-24.792712	2339
2698.893781	-24.358436	2340
2699.919240	-24.473675	2341
2700.917577	-24.185623	2342
2701.928590	-24.241363	2343
2702.937168	-24.109749	2344
2703.941927	-24.609240	2345
2704.945343	-23.570806	2346
2705.949330	-24.212498	2347
2706.962464	-23.752703	2348
2707.969725	-24.279415	2349
2708.978101	-23.805664	2350
2709.976499	-24.053068	2351
2710.993094	-23.645744	2352
2711.999574	-22.969317	2353
2713.003624	-23.848593	2354
2714.004049	-23.650274	2355
2715.015852	-24.258428	2356
2716.016278	-23.370450	2357
2717.027804	-23.658522	2358
2718.041291	-23.539674	2359
2719.050835	-23.643269	2360
2720.050798	-23.663316	2361
2721.055513	-23.683821	2362
2722.064066	-23.565834	2363
2723.071612	-23.669316	2364
2724.072971	-23.635304	2365
2725.081376	-23.794002	2366
2726.086122	-23.341745	2367
2727.097074	-23.575226	2368
2728.101437	-22.879656	2369
2729.112653	-23.477144	2370
2730.117026	-23.300524	2371
2731.133935	-23.641883	2372
2732.130581	-23.347268	2373
2733.139365	-23.412368	2374
2734.139729	-23.343703	2375
2735.157876	-23.321270	2376
2736.156060	-23.797597	2377
2737.163848	-23.181136	2378
2738.166603	-23.285488	2379
2739.189248	-22.996665	2380
2740.184463	-23.089752	2381
2741.198825	-23.147721	2382
2742.196427	-22.945328	2383
2743.210871	-23.253179	2384
2744.212119	-23.259356	2385
2745.221353	-22.905818	2386
2746.229199	-22.853722	2387
2747.232717	-22.922317	2388
2748.246774	-23.387994	2389
2749.238361	-22.467905	2390
2750.255080	-22.836944	2391
2751.259941	-22.901983	2392
2752.272453	-22.956726	2393
2753.266021	-22.755638	2394
2754.281893	-22.511571	2395
2755.285943	-22.588352	2396
2756.289879	-22.678886	2397
2757.293128	-22.377847	2398
2758.298870	-22.681778	2399
2759.306955	-22.298715	2400
2760.316175	-22.391050	2401
2761.318608	-22.359097	2402
2762.347650	-22.695037	2403
2763.329193	-22.413769	2404
2764.352246	-22.343429	2405
2765.349163	-22.282243	2406
2766.362306	-22.570305	2407
2767.367169	-22.389124	2408
2768.377771	-22.183746	2409
2769.380748	-21.782053	2410
2770.385949	-22.490912	2411
2771.393204	-22.175750	2412
2772.408241	-22.693283	2413
2773.414063	-21.954209	2414
2774.406944	-22.321081	2415
2775.418806	-21.892856	2416
2776.429741	-22.049630	2417
2777.436956	-22.258193	2418
2778.437085	-22.219640	2419
2779.448556	-22.142769	2420
2780.452197	-22.071687	2421
2781.460193	-22.061418	2422
2782.468930	-22.059849	2423
2783.483014	-21.903668	2424
2784.482906	-22.085934	2425
2785.494837	-21.843945	2426
2786.490891	-21.729915	2427
2787.505634	-21.780185	2428
2788.505172	-21.772345	2429
2789.517778	-21.845830	2430
2790.524195	-21.691355	2431
2791.526372	-22.085396	2432
2792.527336	-21.695566	2433
2793.546618	-21.155544	2434
2794.552885	-21.706977	2435
2795.564460	-21.432827	2436
2796.557062	-21.752530	2437
2797.573959	-21.779043	2438
2798.572098	-21.599669	2439
