time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7210.430540	39.100998	1.581684	0.091178	137
7212.437436	37.631054	1.554070	0.093417	139
7214.462986	40.315556	1.556308	0.092220	141
7216.472161	38.023323	1.547417	0.091011	143
7218.493445	39.906441	1.578212	0.073055	145
7220.505741	39.202396	1.523466	0.101235	147
7222.518583	37.678329	1.547666	0.078647	149
7224.540124	39.684864	1.573068	0.061531	151
7226.555456	40.134449	1.527112	0.089997	153
7228.565959	38.016151	1.522402	0.086200	155
7230.583598	38.722435	1.564883	0.054487	157
7232.603246	40.513287	1.528434	0.076934	159
7234.611940	37.887424	1.523600	0.076414	161
7236.633520	39.906204	1.556706	0.055895	163
7238.643692	38.455067	1.509912	0.076169	165
7240.664809	40.069786	1.542290	0.057166	167
7242.673550	38.186062	1.519282	0.064056	169
7244.694518	39.390278	1.515872	0.063542	171
7246.711436	39.477455	1.526618	0.057714	173
7248.723621	39.275620	1.524294	0.057106	175
7250.736751	39.400188	1.515530	0.056500	177
7252.752325	39.569599	1.511571	0.055101	179
7254.770091	39.192444	1.506999	0.052756	181
7256.788566	38.218563	1.506889	0.050841	183
7258.801957	38.580772	1.518849	0.053892	185
7260.810635	40.894550	1.509520	0.052142	187
7262.831731	38.951416	1.490482	0.041637	189
7264.847305	38.842129	1.520777	0.055824	191
7266.857549	40.714745	1.484871	0.039402	193
7268.879826	37.984112	1.506039	0.049896	195
7270.887237	41.292744	1.485975	0.039796	197
7272.910763	37.859489	1.497137	0.044400	199
7274.917130	41.451649	1.485887	0.040092	201
7276.941562	37.978035	1.483548	0.037713	203
7278.948694	41.193565	1.491207	0.043318	205
7280.969477	39.123123	1.465010	0.029986	207
7282.983851	39.352894	1.494720	0.042000	209
7284.994102	41.255753	1.470846	0.033088	211
7287.015534	39.303402	1.465172	0.030708	213
7289.032272	38.889771	1.479335	0.034279	215
7291.043370	39.971352	1.479524	0.033353	217
7293.055684	40.369884	1.471602	0.030664	219
7295.069656	40.328171	1.466049	0.029354	221
7297.084855	40.049858	1.461736	0.027690	223
7299.100863	39.824425	1.456233	0.026821	225
7301.117960	39.816513	1.451538	0.026654	227
7303.137476	40.351894	1.451443	0.026864	229
7305.154540	40.753605	1.459999	0.023614	231
7307.164032	39.831108	1.462504	0.019479	233
7309.176343	39.014927	1.441451	0.024037	235
7311.198645	40.661160	1.439196	0.025425	237
7313.212783	40.459854	1.458633	0.015483	239
7315.221269	38.815582	1.436214	0.019942	241
7317.243188	40.545258	1.428204	0.024065	243
7319.258854	40.589443	1.449815	0.013904	245
7321.266469	38.859234	1.432597	0.016680	247
7323.285907	39.960117	1.419685	0.021792	249
7325.305485	40.889183	1.434429	0.016092	251
7327.315890	39.853962	1.437919	0.013122	253
7329.327034	39.245247	1.423106	0.015702	255
7331.343553	39.544914	1.415385	0.016672	1
7333.361849	39.823914	1.416579	0.015116	3
7335.379205	39.967838	1.416406	0.014066	5
7337.395281	39.861706	1.414960	0.013476	7
7339.410208	39.743107	1.416042	0.012877	9
7341.424686	39.634331	1.414641	0.012665	11
